,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary,Hourly
504,Data Scientist (all levels),"$142,500 /yr (est.)","At Shelf Engine, our mission is to reduce food waste through automation. We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States. We're able to drastically reduce the amount of food waste generated while simultaneously maximizing sales and expanding margins for grocers—a triple win for suppliers and retailers, consumers, and the environment.
We are looking for Data Scientists of all levels to join our growing team. You will research, build, and deploy sophisticated models and tooling to solve complex supply chain and business problems on data at scale. You will apply your knowledge and experience in statistics and machine learning, your business acumen, and your skills in code and productionalization to prototype, launch, monitor, and iterate. Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference, optimization, A/B Testing, machine learning engineering, ML Ops, decision science, and data ops.",4.6,Shelf Engine,National,-1,1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,142500.0,0
509,Data Scientist Contract-W2,$13.06 /hr (est.),"Collecting data through means such as analyzing business results or by setting up and managing new studies
Transferring data into a new format to make it more appropriate for analysis
Creating new, experimental frameworks to collect data
Building tools to automate data collection
Searching through large data sets for usable information
Creating reports and presentations for business uses
Correlating similar data to find actionable results
Job Types: Full-time, Contract",-1,Snowrelic,National,-1,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,26120.0,1
521,Data Scientist,"$82,752 /yr (est.)","Job Description


ORGANIZATIONAL PROFILE: The mission of the Mayor’s Office of Data Analytics (MODA) is to work with City agencies and their data to help serve New Yorkers more equitably and effectively. This work takes three main forms: analyzing data to improve City agency operations; making Open Data more accessible to all New Yorkers; and advancing citywide data infrastructure, integration, and sharing. MODA’s work in partnership with agencies touch on a wide variety of areas including: public safety, education, emergency management, transportation, physical infrastructure, and economic development. Depending on the engagement, MODA staff may serve as analysts, strategic advisors, technical resources, or project managers.

MODA is also responsible for implementing the New York City Open Data Law, the most ambitious and comprehensive open data legislation in the country. MODA partners with the Department of Information Technology and Telecommunications (DoITT) to manage the City’s Open Data program, which has over 2,500 publicly available datasets and 30,000 weekly users, and achieve Open Data for All, the Mayor’s vision to maximize New Yorkers’ engagement with City data.

During the current COVID-19 emergency, MODA is providing critical citywide data analysis and integrations to support the City’s response. MODA plays a pivotal role in the City during emergencies, and MODA staff are serving seven days a week as data analysts, strategic advisors, technical resources, and project managers in a range of topics in partnership with City agencies including: public safety, education, emergency management, transportation, physical infrastructure, and economic development.

POSITION DESCRIPTION: MODA seeks a Data Scientist to join a diverse mission-driven urban analytics office and serve as part of the Analytics team, which practices and advances responsible and open analytics in the City of New York, and is a critical player in any Citywide emergency response. MODA data scientists balance thinking and doing: we are curious and ask questions, but also passionate about rolling up our sleeves to deliver timely answers to complex questions. The successful candidate should be a relentless problem solver, constantly curious and “question asker,” driven to find insights and “a-ha” moments in data and information, and to deliver recommendations to improve operations. Examples of prior analytics projects are on the MODA project library (https://moda-nyc.github.io/Project-Library/projects/) and more about the team is available on the MODA team page (https://www1.nyc.gov/site/analytics/about/meet-team.page).

MODA serves an essential data analysis and critical coordination role to support the City’s COVID-19 response, and the Data Scientist’s projects will include delivering insights to City agency leadership on prioritizing and allocating operational resources, detecting anomalies for policy reviews, and forecasting and projecting demand and supply chain. Examples of recent COVID-19 data analytic projects include:

In addition to work within an emergency-response climate, the Data Scientist will complete data analytics projects to better inform agency or interagency policies, programs, and operational practices. The ideal candidate should have prior experience prioritizing and responding to requests for data and analysis from senior leadership, scoping projects and seeing them through delivery, and communicating results from analysis verbally and in writing in a fast-paced environment. The Data Scientist will report to the MODA Assistant Director for Data Analytics, and work closely with other members of the Analytics Team and MODA office on projects. An interest and/or understanding of New York City policy and operations or strong policy or operational analysis capabilities is preferred but not required.

Responsibilities include, but are not limited to, the following:",3.4,Mayor's Office of Contract Services,National,-1,201 to 500 Employees,Government,Unknown / Non-Applicable,-1,-1,-1,-1,82752.0,0
524,Data Scientist (all levels),"$142,500 /yr (est.)","At Shelf Engine, our mission is to reduce food waste through automation. We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States. We're able to drastically reduce the amount of food waste generated while simultaneously maximizing sales and expanding margins for grocers—a triple win for suppliers and retailers, consumers, and the environment.
We are looking for Data Scientists of all levels to join our growing team. You will research, build, and deploy sophisticated models and tooling to solve complex supply chain and business problems on data at scale. You will apply your knowledge and experience in statistics and machine learning, your business acumen, and your skills in code and productionalization to prototype, launch, monitor, and iterate. Our team works on projects in forecasting, retail, supply chain, Bayesian modeling, machine learning, deep learning, reinforcement learning, causal inference, optimization, A/B Testing, machine learning engineering, ML Ops, decision science, and data ops.",4.6,Shelf Engine,National,-1,1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,142500.0,0
535,Data Scientist,"$97,000 /yr (est.)","Duties and Responsibilities
Works with datasets to create equations based on advanced statistics and mathematical results.
Identifies action from predictive and prescriptive results.
Tracks trends in data and measures success of actions.
Designs analysis plans, conducts advanced statistical analysis, produces results, helps with implementation of equations to segment members (or transactions) and monitors populations to quantify results. Ideally this process leads to recurring best practices.
Responsible for custom Suncoast Credit Union analytics, including the SunLogix, solution. This includes creating, maintaining, and troubleshooting models, lift charts, etc.
Writes, reviews, and maintains documentation describing all elements of data warehouse and cube design (including standards, functionality, logic, deployment and implementation procedures, time estimates, and test plans).",3.7,Suncoast Credit Union,National,-1,1001 to 5000 Employees,1934,Nonprofit Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,97000.0,0
550,Data Scientist,"$82,752 /yr (est.)","Job Description


ORGANIZATIONAL PROFILE: The mission of the Mayor’s Office of Data Analytics (MODA) is to work with City agencies and their data to help serve New Yorkers more equitably and effectively. This work takes three main forms: analyzing data to improve City agency operations; making Open Data more accessible to all New Yorkers; and advancing citywide data infrastructure, integration, and sharing. MODA’s work in partnership with agencies touch on a wide variety of areas including: public safety, education, emergency management, transportation, physical infrastructure, and economic development. Depending on the engagement, MODA staff may serve as analysts, strategic advisors, technical resources, or project managers.

MODA is also responsible for implementing the New York City Open Data Law, the most ambitious and comprehensive open data legislation in the country. MODA partners with the Department of Information Technology and Telecommunications (DoITT) to manage the City’s Open Data program, which has over 2,500 publicly available datasets and 30,000 weekly users, and achieve Open Data for All, the Mayor’s vision to maximize New Yorkers’ engagement with City data.

During the current COVID-19 emergency, MODA is providing critical citywide data analysis and integrations to support the City’s response. MODA plays a pivotal role in the City during emergencies, and MODA staff are serving seven days a week as data analysts, strategic advisors, technical resources, and project managers in a range of topics in partnership with City agencies including: public safety, education, emergency management, transportation, physical infrastructure, and economic development.

POSITION DESCRIPTION: MODA seeks a Data Scientist to join a diverse mission-driven urban analytics office and serve as part of the Analytics team, which practices and advances responsible and open analytics in the City of New York, and is a critical player in any Citywide emergency response. MODA data scientists balance thinking and doing: we are curious and ask questions, but also passionate about rolling up our sleeves to deliver timely answers to complex questions. The successful candidate should be a relentless problem solver, constantly curious and “question asker,” driven to find insights and “a-ha” moments in data and information, and to deliver recommendations to improve operations. Examples of prior analytics projects are on the MODA project library (https://moda-nyc.github.io/Project-Library/projects/) and more about the team is available on the MODA team page (https://www1.nyc.gov/site/analytics/about/meet-team.page).

MODA serves an essential data analysis and critical coordination role to support the City’s COVID-19 response, and the Data Scientist’s projects will include delivering insights to City agency leadership on prioritizing and allocating operational resources, detecting anomalies for policy reviews, and forecasting and projecting demand and supply chain. Examples of recent COVID-19 data analytic projects include:

In addition to work within an emergency-response climate, the Data Scientist will complete data analytics projects to better inform agency or interagency policies, programs, and operational practices. The ideal candidate should have prior experience prioritizing and responding to requests for data and analysis from senior leadership, scoping projects and seeing them through delivery, and communicating results from analysis verbally and in writing in a fast-paced environment. The Data Scientist will report to the MODA Assistant Director for Data Analytics, and work closely with other members of the Analytics Team and MODA office on projects. An interest and/or understanding of New York City policy and operations or strong policy or operational analysis capabilities is preferred but not required.

Responsibilities include, but are not limited to, the following:",3.4,Mayor's Office of Contract Services,National,-1,201 to 500 Employees,Government,Unknown / Non-Applicable,-1,-1,-1,-1,82752.0,0
589,Data Scientist,"$82,752 /yr (est.)","Job Description


ORGANIZATIONAL PROFILE: The mission of the Mayor’s Office of Data Analytics (MODA) is to work with City agencies and their data to help serve New Yorkers more equitably and effectively. This work takes three main forms: analyzing data to improve City agency operations; making Open Data more accessible to all New Yorkers; and advancing citywide data infrastructure, integration, and sharing. MODA’s work in partnership with agencies touch on a wide variety of areas including: public safety, education, emergency management, transportation, physical infrastructure, and economic development. Depending on the engagement, MODA staff may serve as analysts, strategic advisors, technical resources, or project managers.

MODA is also responsible for implementing the New York City Open Data Law, the most ambitious and comprehensive open data legislation in the country. MODA partners with the Department of Information Technology and Telecommunications (DoITT) to manage the City’s Open Data program, which has over 2,500 publicly available datasets and 30,000 weekly users, and achieve Open Data for All, the Mayor’s vision to maximize New Yorkers’ engagement with City data.

During the current COVID-19 emergency, MODA is providing critical citywide data analysis and integrations to support the City’s response. MODA plays a pivotal role in the City during emergencies, and MODA staff are serving seven days a week as data analysts, strategic advisors, technical resources, and project managers in a range of topics in partnership with City agencies including: public safety, education, emergency management, transportation, physical infrastructure, and economic development.

POSITION DESCRIPTION: MODA seeks a Data Scientist to join a diverse mission-driven urban analytics office and serve as part of the Analytics team, which practices and advances responsible and open analytics in the City of New York, and is a critical player in any Citywide emergency response. MODA data scientists balance thinking and doing: we are curious and ask questions, but also passionate about rolling up our sleeves to deliver timely answers to complex questions. The successful candidate should be a relentless problem solver, constantly curious and “question asker,” driven to find insights and “a-ha” moments in data and information, and to deliver recommendations to improve operations. Examples of prior analytics projects are on the MODA project library (https://moda-nyc.github.io/Project-Library/projects/) and more about the team is available on the MODA team page (https://www1.nyc.gov/site/analytics/about/meet-team.page).

MODA serves an essential data analysis and critical coordination role to support the City’s COVID-19 response, and the Data Scientist’s projects will include delivering insights to City agency leadership on prioritizing and allocating operational resources, detecting anomalies for policy reviews, and forecasting and projecting demand and supply chain. Examples of recent COVID-19 data analytic projects include:

In addition to work within an emergency-response climate, the Data Scientist will complete data analytics projects to better inform agency or interagency policies, programs, and operational practices. The ideal candidate should have prior experience prioritizing and responding to requests for data and analysis from senior leadership, scoping projects and seeing them through delivery, and communicating results from analysis verbally and in writing in a fast-paced environment. The Data Scientist will report to the MODA Assistant Director for Data Analytics, and work closely with other members of the Analytics Team and MODA office on projects. An interest and/or understanding of New York City policy and operations or strong policy or operational analysis capabilities is preferred but not required.

Responsibilities include, but are not limited to, the following:",3.4,Mayor's Office of Contract Services,National,-1,201 to 500 Employees,Government,Unknown / Non-Applicable,-1,-1,-1,-1,82752.0,0
598,Data Scientist,"$97,000 /yr (est.)","Duties and Responsibilities
Works with datasets to create equations based on advanced statistics and mathematical results.
Identifies action from predictive and prescriptive results.
Tracks trends in data and measures success of actions.
Designs analysis plans, conducts advanced statistical analysis, produces results, helps with implementation of equations to segment members (or transactions) and monitors populations to quantify results. Ideally this process leads to recurring best practices.
Responsible for custom Suncoast Credit Union analytics, including the SunLogix, solution. This includes creating, maintaining, and troubleshooting models, lift charts, etc.
Writes, reviews, and maintains documentation describing all elements of data warehouse and cube design (including standards, functionality, logic, deployment and implementation procedures, time estimates, and test plans).",3.7,Suncoast Credit Union,National,-1,1001 to 5000 Employees,1934,Nonprofit Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,97000.0,0
20,Junior Data Scientist,"$75,000 /yr (est.)","News and data junkie? Put your curiosity to work! Employment Practices Group is an external HR Consulting Company recruiting a Junior Data Scientist for our client, Decode_M
About our Client
Decode_M is a new kind of insights and strategy firm. We Decode Data into Momentum™ for individuals, organizations and movements. This means, for each client in our diverse portfolio (think Estée Lauder Companies, Airbnb, WeWork, Brooklyn Brewery, the NHL), we use wide-ranging data sources to diagnose what’s most in the way of our clients’ ambition and then advise them on how to move forward.
We’re a tight-knit group that’s sharp, a little quirky and extremely collaborative. And we’re big fans of lunch. Seriously. We love a good lunch.",-1,Employment Practices Group,NYC,-1,-1,-1,-1,-1,-1,-1,-1,75000.0,0
23,Quantitative Researcher,"$152,335 /yr (est.)","Company description
Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis. We employ computer-based models and machine learning techniques to determine when an investment is attractive. We use proprietary models designed to measure and control various forms of risk while employing dynamic investment portfolios.
Job description
Quantitative Researcher
Orsus Research is seeking extraordinary Quantitative Researchers to join our portfolio management team. This position is responsible for developing and maintaining applications and utilities that facilitate research and trading strategies.",-1,Orsus Research,NYC,-1,-1,-1,-1,-1,-1,-1,-1,152335.0,0
38,Data Scientist,"$137,500 /yr (est.)","Employment Practices Group is an external HR Consulting Company recruiting for our client, Decode_M:
Decode_M is a new kind of insights and strategy firm. We Decode Data into Momentum™ for individuals, organizations and movements. This means, for each client in our diverse portfolio (think Estée Lauder Companies, Airbnb, WeWork, Brooklyn Brewery, the NHL), we use wide-ranging data sources to diagnose what’s most in the way of our clients’ ambition and then advise them on how to move forward.
We’re a tight-knit group that’s sharp, a little quirky and extremely collaborative. And we’re big fans of lunch. Seriously. We love a good lunch.
The Opportunity",-1,Employment Practices Group,NYC,-1,-1,-1,-1,-1,-1,-1,-1,137500.0,0
40,Data Scientist II - Marketing,"$115,638 /yr (est.)","Title: Data Scientist II - Marketing
Office: National Offices
Location: New York, NY
Apply for this job
Job postings are hosted on Greenhouse. See their privacy policy.
ABOUT THE JOB
The ACLU seeks a full-time position of Data Scientist II - Marketing in the Analytics Department of the ACLU’s National office in New York.",3.9,ACLU,NYC,-1,201 to 500 Employees,1920,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),-1,115638.0,0
44,Data Scientist,"$90,803 /yr (est.)","The Equal Employment Practices Commission, empowered by the City Charter, audits, evaluates, and monitors the City of New York’s employment programs, practices, policies and procedures to ensure that individual agencies and the City as an employer maintain a firm and effective affirmative employment program of equal opportunity for minority group members and women employed by, or seeking employment with, City government. The EEPC advises and assists City agencies in their efforts to establish affirmative plans, measures, and programs to provide, and educate employees about, equal employment opportunities; implement and maintain effective employment practices which are non-discriminatory; and utilize discrimination complaint investigation procedures that conform to federal, state and local laws, regulations, policies and procedures.

Housed in the EEPC’s Research Unit, the Data Scientist collects, verifies and analyzes data related to the production of mandated reporting documents; provides research to develop, implement and assess an effective affirmative employment program; conducts research and analyses on trends observed or reported from audited entities, assists in the development of research tools and analytics; reports findings and disseminates information; drafts recommendations; and performs other duties as assigned. Typical tasks include, but are not limited to:
1. Develop and maintain a research agenda for the delivery of an effective affirmative employment plan and to support the production of the Local Law 13 Annual Report on Underutilization.
2. Prepare datasets for analysis/visualization using advanced statistical analysis including cluster analysis, regression analysis and outcome prediction
3. Manage and organize collection processes for the following data: workforce statistics, provisional titles, adverse impact, utilization analyses, discrimination complaint statistics, etc. Manage and organize disparate data sources into searchable databases. Automate analytics and data reporting. Perform descriptive and multivariate statistical analyses of data collected.
4. Assist in the design of a research protocol to measure the impact of an entity following an audit
5. Develop data collection tools to establish benchmarks, including surveys, questionnaires, and focus groups.
6. Research best practices, legislation and/or policies to ensure the Commission/staff awareness (and compliance).
7. Propose data-driven recommendations and/or solutions to address business problems.
8. Research and prepare justifications and grant proposals as required to secure funding opportunities.
9. Provide support to the Director of Research in the planning of EEPC Public Hearings and/or presentations to the Board of Commissioners.
10. Draft presentations, including visualizations of datasets, for the purpose of disseminating information for EEPC’s public hearings and/or commission meetings.
11. Establish and document progress toward achievement of public hearing goals, outcomes and objectives.",-1,NYC EQUAL EMPLOY PRACTICES COMM,NYC,-1,-1,-1,-1,-1,-1,-1,-1,90803.0,0
46,Chief Data Scientist,"$175,000 /yr (est.)","Mission
Fulcrum Analytics provides cutting-edge data science consulting and software solutions to help companies solve tough business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
The Role
We are seeking an executive level, well-rounded, entrepreneurial data scientist to join our consulting firm as Chief Data Scientist. This role is perfect for someone who wants to serve as a partner to the CEO in driving the vision, innovation, and success of the company. The Chief Data Scientist will oversee the Data Science team and client base, contribute to the R&D of analytic products, be the subject matter expert for sales opportunities, and serve as part of the core management team of the company.",4.3,Fulcrum Analytics,NYC,-1,1 to 50 Employees,1993,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,175000.0,0
63,Chief Data Scientist,"$175,000 /yr (est.)","Mission
Fulcrum Analytics provides cutting-edge data science consulting and software solutions to help companies solve tough business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
The Role
We are seeking an executive level, well-rounded, entrepreneurial data scientist to join our consulting firm as Chief Data Scientist. This role is perfect for someone who wants to serve as a partner to the CEO in driving the vision, innovation, and success of the company. The Chief Data Scientist will oversee the Data Science team and client base, contribute to the R&D of analytic products, be the subject matter expert for sales opportunities, and serve as part of the core management team of the company.",4.3,Fulcrum Analytics,NYC,-1,1 to 50 Employees,1993,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,175000.0,0
117,"City Research Scientist I / Policy and Data Analyst, Bureau of Emergency Field Operations","$64,140 /yr (est.)","**HIRING RATE: $ 64,140.00 (Flat Rate)

The NYC Department of Health and Mental Hygiene (NYC DOHMH)'s Office of Emergency Preparedness and Response (OEPR )was created to promote NYC DOHMH's ability to prevent, prepare for, respond to, and recover from health emergencies.

The OEPR team coordinates agency-wide emergency preparedness planning, exercises and training, evaluation of incident response, exercise performance and coordinating with community stakeholders, city, state & federal partners on public health emergency planning and response.

The work of OEPR focuses on promoting and protecting public health through emergency preparedness and response; and recognizes that social inequities negatively impact our efforts to maintain and improve the health of NYC during and after a disaster. With these inequities in mind, OEPR is also working to improve its application of a social justice and racial equity lens to its emergency preparedness and response work.

The OEPR employees are expected to align their work with OEPR's efforts to combat the harmful effects of systemic injustices on communities and work towards the most equitable post-disaster public health outcomes possible.

WILL INCLUDE BUT NOT BE LIMITED TO:


Planning
Training
Community Integration
Operations and Logistics
Clinical Planning",3.6,NYC DEPT OF HEALTH/MENTAL HYGIENE,NYC,-1,5001 to 10000 Employees,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1,64140.0,0
144,Senior Data Scientist,"$117,500 /yr (est.)","The Senior Data Scientist role is expected to develop multivariate statistical models and machine learning algorithms to solve client business problems. The Senior Data Scientist will have a number of responsibilities, including:
Interface with various database platforms to pull data and link them logically; requires knowledge of how to deal with the inherent structure of the data
Data manipulation including auditing, reporting, and preparing data for statistical analysis, including large databases and datasets
Use R and Python to perform standard statistical analysis, profiling, reporting and model implementation
Develop and interpret multivariate statistical models, such as linear or logistic regression, survival analysis and other parametric or non-parametric models that predict various business metrics",4.3,Fulcrum Analytics,NYC,-1,1 to 50 Employees,1993,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,117500.0,0
174,Senior Data Scientist,"$117,500 /yr (est.)","The Senior Data Scientist role is expected to develop multivariate statistical models and machine learning algorithms to solve client business problems. The Senior Data Scientist will have a number of responsibilities, including:
Interface with various database platforms to pull data and link them logically; requires knowledge of how to deal with the inherent structure of the data
Data manipulation including auditing, reporting, and preparing data for statistical analysis, including large databases and datasets
Use R and Python to perform standard statistical analysis, profiling, reporting and model implementation
Develop and interpret multivariate statistical models, such as linear or logistic regression, survival analysis and other parametric or non-parametric models that predict various business metrics",4.3,Fulcrum Analytics,NYC,-1,1 to 50 Employees,1993,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,117500.0,0
192,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
228,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
287,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
307,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
350,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
366,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
408,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
436,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
463,Senior Data Scientist,"$130,000 /yr (est.)","Description
OnPoint Digital Solutions (OnPoint), a Koch Engineered Solutions company, is seeking a Senior Data Scientist to join our Data Science and Advanced Analytics team. OnPoint combines domain knowledge with digital technology to provide industrial AI solutions for our customers for increased operation visibility, reliability, and production. OnPoint Digital Solutions is a strategic partner of Amazon Web Services, Inc. (AWS), an Amazon.com company and Koch's preferred cloud provider. Together they have been collaborating to co-develop an intelligent process optimization platform (IPOP). The platform – designed to enable OnPoint's solutions – will utilize cloud and edge digital infrastructure to provide advanced machine learning and industrial computing capabilities for OnPoint's connected ecosystem, enabling industrial operators and their preferred partners to integrate and act upon the best available knowledge anywhere, anytime, at scale",3.9,OnPoint,NYC,-1,10000+ Employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,130000.0,0
